,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Solar Array Size,Solar CapEx,Wind Turbine Power,No. of Turbines,Wind CapEx,Yearly Cost Solar,Yearly Cost Wind,Elec Cost Solar,Elec Cost Wind,Cheaper source,Yearly gen. cost,Gen. cost per kg H2,Shipping Dist.,NH3 Cost,LOHC Cost,H2 Liq Cost,H2 Gas Cost,Transport Cost per kg H2,Cheapest Medium,Direct Dist.,Driving Dist.,Yearly Transport Cost,Total Yearly Cost,Total Cost per kg H2
0,-159.0,56.0,1063.974986076355,472.33026,4944,-152.4157358174603,57.783555,447.5045175597334,491.8272,2735447.542734961,1914813279.9144728,1.4838692748841569,326.8984910436538,823784197.4300076,208099569.37359935,107187822.19140486,71.50087768221105,36.82863634268782,Wind,348970841.40718555,6.9794168281437114,19632.17477318556,2.8502946110152134,2.343504662385442,3.9426322089104247,,2.343504662385442,LOHC,7967.388996223003,,117175233.1192721,466146074.52645767,9.322921490529154
1,-159.0,59.0,1079.3050062656405,369.35553,4944,-152.4157358174603,57.783555,408.0202428992612,,2696594.330887135,1887616031.6209946,1.1603646196107644,418.03638155426205,1053451681.5167403,205143805.63549092,130579962.74049439,70.48530757732253,44.86593591596474,Wind,372362981.9562751,7.447259639125502,19632.17477318556,2.830902968650526,2.327710952521253,3.926838499046236,,2.327710952521253,LOHC,7634.540584100985,,116385547.62606266,488748529.58233774,9.774970591646754
2,-135.0,57.0,917.9750382900238,958.34094,3146,-130.00012658113093,55.90287,331.53387693717167,1852.1911,3170508.6083991174,2219356025.879382,3.0107168567383367,161.11598996100142,406012294.7017236,241196903.1741994,64636831.11427874,82.87278211626338,22.208552229008593,Wind,306419850.33005947,6.1283970066011895,18584.467407546028,2.82401478076701,2.322635977714055,3.9162100568305416,,2.322635977714055,LOHC,7537.995824735957,,116131798.88570276,422551649.21576226,8.451032984315244
3,-128.0,55.0,999.0049958229064,1433.1104,3679,-128.6718224560537,53.977895,121.8188056016047,207.8273,2913346.553183769,2039342587.2286382,4.50224910442313,107.74051271155152,271506092.03310984,221633262.44869018,50937077.27206609,76.15091581570381,17.501457319120142,Wind,292720096.4878468,5.854401929756936,18401.799946220937,2.823785322650169,2.322299742057693,3.9148736089954728,,2.322299742057693,LOHC,7578.228834486716,,116114987.10288467,408835083.59073144,8.176701671814628
4,-126.0,55.0,1163.9849603176117,77.40454,3679,-128.6718224560537,53.977895,207.160715337916,422.9948,2500416.981676351,1750291887.1734455,0.24317353421849724,1994.7673517374653,5026813726.378412,190219585.2825752,535275663.463726,65.35749853298738,183.9152279593315,Solar,432002604.49835587,8.640052089967117,18401.799946220937,2.823785322650169,2.322299742057693,3.9148736089954728,,2.322299742057693,LOHC,7524.360548364522,,116114987.10288467,548117591.6012405,10.96235183202481
5,-125.0,49.0,1168.7299644947052,74.20218,149,-125.00189345292245,48.99731080513448,0.3295997986872414,0.0,2490265.373192813,1743185761.234969,0.2331130235683475,2080.8559703806095,5243757045.359136,189447300.19179204,557371819.691338,65.092149296667,191.5072406118956,Solar,431230319.40757275,8.624606388151454,17594.402358048224,2.822743046458247,2.237172172692656,3.825170043235896,,2.237172172692656,LOHC,8098.572333663653,,111858608.6346328,543088928.0422056,10.86177856084411
6,-125.0,54.0,1163.2550132274628,239.63728,3679,-128.6718224560537,53.977895,240.8319630722674,481.9606,2501986.0031541693,1751390202.2079184,0.7528427183742403,644.3239936134172,1623696463.9058113,190338948.81953612,188660653.39669812,65.39851062004574,64.82186552604499,Wind,430443672.61247885,8.608873452249577,18401.799946220937,2.823785322650169,2.322299742057693,3.9148736089954728,,2.322299742057693,LOHC,7596.551943554666,,116114987.10288467,546558659.7153635,10.93117319430727
7,-124.0,45.0,1292.099986076355,257.66876,3837,-123.9061330086587,46.18408,131.80625344692854,171.9273,2252494.2284319787,1576745959.902385,0.8094902834755917,599.2346502084949,1510071318.5254073,171358825.79731464,177087681.36185235,58.877135017538876,60.845511032021065,Solar,413141845.0130954,8.262836900261908,17409.081181257647,2.8224970680169155,2.320412002595104,3.907370343740234,,2.320412002595104,LOHC,8468.627139800245,,116020600.12975518,529162445.1428506,10.583248902857012
8,-124.0,52.0,1376.0499930381775,239.30109,2283,-123.90600187203916,49.17560352478176,314.2572302797283,948.8323,2115074.1440491267,1480551900.8343887,0.7517865463400301,645.2291933490844,1625977567.2396927,160904572.90575194,188892988.80980778,55.285160947104515,64.90169359106216,Solar,402687592.1215327,8.053751842430653,17889.88569504259,2.823129935245198,2.3213393723949634,3.9110563935028955,,2.3213393723949634,LOHC,7767.047059796059,,116066968.61974816,518754560.74128085,10.375091214825616
9,-124.0,54.0,1240.2700006961825,151.76865,4295,-127.11577535720149,50.599415,433.904714189744,1335.193,2346624.331444243,1642637032.01097,0.4767952758852406,1017.3645826608898,2563758748.3054423,178519787.0645009,284408073.4941373,61.33756786318749,97.71969704670359,Solar,420302806.2802816,8.406056125605632,18283.96349731185,2.843201981413015,2.335642950724357,3.927566311376736,,2.335642950724357,LOHC,7567.582266942108,,116782147.53621785,537084953.8164995,10.74169907632999
10,-123.0,38.0,1555.630030632019,1252.9034,25477,-122.36638765475,38.074189145000005,56.2298238976564,85.53439999999999,1870912.558824528,1309638791.1771696,3.936112117097674,123.23699438301203,310557225.84519035,142329944.82423022,54914521.507874906,48.90310924729962,18.8680663642442,Wind,296697540.7236556,5.9339508144731115,16391.846735211948,2.8210984381253263,2.3183625251302016,3.899224212688491,,2.3183625251302016,LOHC,9136.676408883246,,115918126.25651008,412615666.98016566,8.252313339603313
11,-123.0,39.0,1774.6299958229065,160.85782,25477,-122.36638765475,38.074189145000005,116.67709047085316,150.1059,1640030.7489699777,1148021524.2789843,0.5053497455844693,959.8790364575167,2418895171.872942,124765577.5840194,269653398.25646585,42.86817281091948,92.65014196504211,Solar,366548596.7998001,7.330971935996002,16391.846735211948,2.8210984381253263,2.3183625251302016,3.899224212688491,,2.3183625251302016,LOHC,9036.246742092815,,115918126.25651008,482466723.0563102,9.649334461126204
12,-123.0,44.0,1353.0550062656405,105.11874,3772,-124.19684561280556,43.394895000000005,117.59287355246934,177.7877,2151019.5429723957,1505713680.080677,0.33024026133861556,1468.8536912472186,3701511301.942991,163639124.3530137,400290684.17630166,56.22472477770214,137.53577353749853,Solar,405422143.56879437,8.108442871375887,17090.93389398026,2.822068617711997,2.3197841744255205,3.9048748927606622,,2.3197841744255205,LOHC,8534.787554892087,,115989208.72127603,521411352.2900704,10.428227045801407
13,-123.0,45.0,1322.7600264549255,112.130135,3674,-122.768689375,45.58885,67.91199946917735,82.4316,2200284.02959394,1540198820.7157578,0.3522672083620318,1377.0076105612166,3470059178.614266,167386927.33266968,376716774.1784628,57.512431442507015,129.43601984593337,Solar,409169946.54845035,8.183398930969007,17559.000653190007,2.822696258277791,2.3207038853536144,3.9085305005330206,,2.3207038853536144,LOHC,8434.67730183059,,116035194.26768072,525205140.81613106,10.504102816322622
14,-123.0,46.0,1204.1350090503693,161.96089,4038,-122.95979285813186,46.116775,13.347513630298392,29.5285,2417044.3839925635,1691931068.7947943,0.5088151421928646,953.3415707227632,2402420758.221363,183877002.79670972,267975442.83698624,63.17825224297206,92.0736136927081,Solar,425660022.0124904,8.513200440249808,17495.549969589345,2.822612163005504,2.2783202830787355,3.9080406989686463,,2.2783202830787355,LOHC,8334.643018388084,,113916014.15393677,539576036.1664271,10.791520723328542
15,-123.0,50.0,1134.4200146198273,100.82697,1934,-123.2597273115,49.1586226685,95.44510763341904,143.7982,2565582.1685845293,1795907518.0091705,0.31675726823571854,1531.3764686993632,3859068701.122395,195177036.3474871,416338253.2991549,67.06082787323915,143.04955369765835,Solar,436960055.5632678,8.739201111265357,17887.01515582536,2.8231262075536105,2.321333910035014,3.9110346820663158,,2.321333910035014,LOHC,7935.410082429235,,116066695.50175071,553026751.0650185,11.060535021300371
16,-123.0,53.0,1251.584963798523,143.02011,1934,-123.2597273115,49.1586226685,427.7387227673824,718.795,2325409.6568569406,1627786759.7998583,0.4493109268916041,1079.596773266757,2720583868.632228,176905877.6120079,300381058.39837676,60.78304512822835,103.20785083431407,Solar,418688896.8277886,8.373777936555772,17887.01515582536,2.8402257020308403,2.332429399141967,3.9221301711732686,,2.332429399141967,LOHC,7637.154092005353,,116621469.95709835,535310366.78488696,10.706207335697739
17,-122.0,37.0,1729.369969367981,47.989758,17916,-122.3300105515,37.7191834425,85.00376909053449,116.2179,1682952.6433014723,1178066850.3110306,0.15076427118035202,3217.4375471586386,8107942618.839769,128030866.9334005,849095446.8297428,43.990092741219655,291.7404868594501,Solar,369813886.1491812,7.396277722983624,16381.888852707012,2.8210843218451065,2.318341839887899,3.8991419943194097,,2.318341839887899,LOHC,9198.983501257751,,115917091.99439494,485730978.14357615,9.714619562871523
18,-122.0,38.0,1802.3700737953184,103.83032,6756,-122.0517320178623,38.02614,5.390433671432809,10.3994,1614789.2175469773,1130352452.2828841,0.3261925705318774,1487.0805489981794,3747442983.4754124,122845324.41250189,404968927.3953403,42.20839351609039,139.14316992557846,Solar,364628343.6282826,7.2925668725656525,16420.28480688474,2.8211387047303487,2.24938041610128,3.878222171355368,,2.24938041610128,LOHC,9098.946840333558,,112469020.80506401,477097364.4333466,9.541947288666933
19,-122.0,39.0,1744.7000765800476,185.19633,6367,-121.55685725036533,38.561485000000005,62.0680787269046,88.3448,1668165.090528955,1167715563.3702686,0.581811429799791,833.7316904079939,2101003859.8281448,126905901.70706189,237275465.95901382,43.603566227554595,81.5254165089945,Solar,368688920.9228426,7.373778418456852,16507.927509864843,2.821262364331324,2.318602733828099,3.9001789787526966,,2.318602733828099,LOHC,8998.946415737477,,115930136.69140495,484619057.61424756,9.692381152284952
